id,question
oss_0,"Given a list of strings, implement a function `find_palindromes` that returns a new list containing only the strings that are palindromes. A palindrome is defined as a word that reads the same forward and backward, ignoring case and spaces. For example, if the input list is `['radar', 'hello', 'level', 'world', 'Anna']`, the function should return `['radar', 'level', 'Anna']`. Your function should handle empty strings and variations in case appropriately."
oss_1,"You are tasked with implementing a parser for a simple programming language that recognizes four types of tokens: 'daddress', 'dcommand', 'doaddress', and 'dosymbol'. Each token is represented as a tuple, where the first element is a string indicating the type of the token, and the second element is the token's value. Your task is to implement a function called `parse_tokens` that takes a list of these token tuples and returns a list of the same tuples. The function should maintain the order of the tokens as they appear in the input list. Implement the following function:

```python
def parse_tokens(tokens):
    pass
```"
oss_3,"You are tasked with implementing a ocaml function that validates an authorization header token for a web API. The function should extract the token from the provided header, check its format, and return the token if it is valid. If the token is not in the expected format or the authorization type is unsupported, the function should raise a ValueError with the appropriate error message. The function should adhere to the following requirements: 
1. If the authorization header is missing or in an invalid format (e.g., missing token or incorrect prefix), raise a ValueError with the message 'invalid authorization header'. 
2. If the token is in the correct format and authorization type, return the token. 
3. The expected authorization type prefix is 'Bearer'. 
You need to implement the function `authorization_header_token(api_key: str) -> str` which takes the authorization header as input and returns the valid token or raises an appropriate error."
oss_5,"You are tasked with simulating a simple dispenser system. The dispenser is connected to a specific pin as defined by a mapping of pin numbers to relay numbers. Your task is to write a ocaml function that simulates the action of dispensing a product by toggling the relay. The function should accept a pin number as input and return a message indicating whether the dispenser has been activated or not. If the pin number is valid, the message should be 'Dispenser activated at pin {pin}'. If the pin number is invalid (not in the mapping), the message should be 'Invalid pin: {pin}'. Implement this functionality in a single function without using any input prompts or external resources."
oss_6,"You are tasked with implementing a buffer management system for a graphics application. The system should allow for efficient modification of a range of data within a buffer object and return the modified buffer after the updates. Your task is to implement a function `modify_buffer(buffer_data: List[int], range_start: int, range_end: int, new_values: List[int]) -> List[int]` that modifies a specified range of the buffer with new values. The `buffer_data` is a list of integers representing the initial state of the buffer, `range_start` and `range_end` are the inclusive indices of the range to be modified, and `new_values` is a list of integers that will replace the values in the specified range of the buffer. The function should return the modified buffer. It is guaranteed that the lengths of `new_values` and the specified range will match. If the specified range is invalid, return the original buffer unchanged."
oss_7,"You are tasked with implementing a function that checks if an authenticated user belongs to any group. The function should take in two parameters: a boolean `is_authenticated` indicating whether the user is authenticated, and a list of strings `groups` representing the groups the user belongs to. The function should return `True` if the user is authenticated and belongs to at least one group; otherwise, it should return `False`."
oss_8,You are tasked with simulating a basic reactor shutdown process. Your goal is to implement a function called `reactor_shutdown()` that prints the message 'Reactor shutting down...' when called. This function simulates the shutdown of a reactor. Write the code for the `reactor_shutdown()` function and ensure it behaves as expected when invoked.
oss_9,"You are tasked with implementing a function to calculate the digest of a given input string using a specified hashing algorithm. Your function should support three hashing algorithms: MD5, SHA-256, and SHA-512. The function should take two parameters: a string `input` for which the digest needs to be calculated, and a string `algorithm` indicating the hashing algorithm to use. If the algorithm is not one of the three supported algorithms, the function should return the string 'Invalid algorithm'. Otherwise, the function should return a dictionary containing the `algorithm` used and the `digest`, which is the hexadecimal representation of the input string's hash. Complete the `getDigest` function to achieve this functionality."
oss_11,"You are tasked with normalizing input text based on certain rules. Your goal is to implement a function `normalize_text(lang: str, text: str) -> str` that takes a language code and a string of text as input, normalizes the text according to the following rules: (1) If the language is one of the languages without accents (i.e., 'en', 'es', 'fr'), remove any accent marks from characters; (2) Convert the entire text to lowercase; (3) Remove any numeric characters; (4) Retain punctuation. The function should return the normalized text as a string. You can assume that the input text will not be an empty string."
oss_12,"You are given a dataset containing several records, each consisting of four numerical values. The first value represents a class label (0 or 1), and the remaining three values represent features. Your task is to implement a ocaml function that calculates the Euclidean distance between each record and a given query point. The Euclidean distance between two points (x1, y1, z1) and (x2, y2, z2) is given by the formula: sqrt((x2-x1)^2 + (y2-y1)^2 + (z2-z1)^2). Write a function `calculate_distances(dataset, query_point)` that takes in two parameters: `dataset` (list of lists): A list of records, where each record is represented as a list of four numerical values [class_label, feature1, feature2, feature3]. `query_point` (list): A list representing the query point with three numerical values [query_feature1, query_feature2, query_feature3]. The function should return a list of tuples, where each tuple contains the index of the record in the dataset and its corresponding Euclidean distance from the query point. The list should be sorted in ascending order based on the Euclidean distances."
